Time,Time Code,Country Name,Country Code,GDP (current US$) [NY.GDP.MKTP.CD],GDP per capita (current US$) [NY.GDP.PCAP.CD],"Population, total [SP.POP.TOTL]"
2020,YR2020,Iraq,IRQ,1.80924E+11,4251.337253,42556984
2020,YR2020,Ireland,IRL,4.25852E+11,85420.19086,4985382
2020,YR2020,Isle of Man,IMN,6684229269,79530.60548,84046
2020,YR2020,Israel,ISR,4.13268E+11,44846.7916,9215100
2020,YR2020,Italy,ITA,1.89721E+12,31918.69349,59438851
2020,YR2020,Jamaica,JAM,13812421859,4897.26477,2820436
2020,YR2020,Japan,JPN,5.04879E+12,39986.92863,126261000
2020,YR2020,Jordan,JOR,43579916197,3987.650174,10928721
2020,YR2020,Kazakhstan,KAZ,1.71082E+11,9121.636402,18755666
2020,YR2020,Kenya,KEN,1.00658E+11,1936.250752,51985780
2020,YR2020,Kiribati,KIR,177553260.1,1403.993738,126463
2020,YR2020,"Korea, Dem. People's Rep.",PRK,..,..,25867467
2020,YR2020,"Korea, Rep.",KOR,1.64431E+12,31721.29802,51836239
2020,YR2020,Kosovo,XKX,7717143395,4310.932984,1790133
2020,YR2020,Kuwait,KWT,1.05949E+11,24297.70114,4360444
2020,YR2020,Kyrgyz Republic,KGZ,7780873259,1182.521506,6579900
2020,YR2020,Lao PDR,LAO,18981800705,2593.355097,7319399
2020,YR2020,Latvia,LVA,34601740323,18207.13964,1900449
2020,YR2020,Lebanon,LBN,31712128254,5599.957523,5662923
2020,YR2020,Lesotho,LSO,2117736528,939.5042491,2254100
2020,YR2020,Liberia,LBR,3039982500,597.5296919,5087584
2020,YR2020,Libya,LBY,46808208747,7034.658365,6653942
2020,YR2020,Liechtenstein,LIE,6405765970,165284.4971,38756
2020,YR2020,Lithuania,LTU,56914826861,20363.92441,2794885
2020,YR2020,Luxembourg,LUX,73992591285,117370.4969,630419
2020,YR2020,"Macao SAR, China",MAC,25459685020,37646.49565,676283
2020,YR2020,Madagascar,MDG,13051441203,462.4042288,28225177
2020,YR2020,Malawi,MWI,12056108780,622.1845914,19377061
2020,YR2020,Malaysia,MYS,3.37339E+11,10160.82935,33199993
2020,YR2020,Maldives,MDV,3746329358,7282.372916,514438
2020,YR2020,Mali,MLI,17465392779,822.9061375,21224040
2020,YR2020,Malta,MLT,15046136935,29196.97775,515332
2020,YR2020,Marshall Islands,MHL,241722400,5567.972727,43413
2020,YR2020,Mauritania,MRT,8405498736,1868.468248,4498604
2020,YR2020,Mauritius,MUS,11401040996,9005.462022,1266014
2020,YR2020,Mexico,MEX,1.09051E+12,8654.997325,125998302
2020,YR2020,"Micronesia, Fed. Sts.",FSM,408000000,3639.412699,112106
2020,YR2020,Moldova,MDA,11531967881,4376.242493,2635130
2020,YR2020,Monaco,MCO,6739642360,182537.3046,36922
2020,YR2020,Mongolia,MNG,13312981427,4041.174145,3294335
2020,YR2020,Montenegro,MNE,4769995512,7677.369141,621306
2020,YR2020,Morocco,MAR,1.21348E+11,3258.10498,36688772
2020,YR2020,Mozambique,MOZ,14156864916,454.0623643,31178239
2020,YR2020,Myanmar,MMR,78930259069,1477.452905,53423198
2020,YR2020,Namibia,NAM,10583748757,4252.041807,2489098
2020,YR2020,Nauru,NRU,124685686.6,10124.7005,12315
2020,YR2020,Nepal,NPL,33433659223,1139.189892,29348627
2020,YR2020,Netherlands,NLD,9.09793E+11,52162.57012,17441500
2020,YR2020,New Caledonia,NCL,9454629451,34700.98162,272460
2020,YR2020,New Zealand,NZL,2.1257E+11,41760.59478,5090200
2020,YR2020,Nicaragua,NIC,12678162359,1876.607372,6755895
2020,YR2020,Niger,NER,13744174582,564.8219973,24333639
2020,YR2020,Nigeria,NGA,4.32199E+11,2074.613928,208327405
2020,YR2020,North Macedonia,MKD,12363580535,5965.450232,2072531
2020,YR2020,Northern Mariana Islands,MNP,858000000,17302.92214,49587
2020,YR2020,Norway,NOR,3.67633E+11,68340.0181,5379475
2020,YR2020,Oman,OMN,75909397659,16707.62301,4543399
2020,YR2020,Pakistan,PAK,3.00426E+11,1322.314783,227196741
2020,YR2020,Palau,PLW,251900000,14016.2475,17972
2020,YR2020,Panama,PAN,57086836942,13293.33321,4294396
2020,YR2020,Papua New Guinea,PNG,23848442440,2446.084413,9749640
2020,YR2020,Paraguay,PRY,35432177936,5353.348045,6618695
2020,YR2020,Peru,PER,2.01948E+11,6063.62658,33304756
2020,YR2020,Philippines,PHL,3.61751E+11,3224.422811,112190977
2020,YR2020,Poland,POL,5.99443E+11,15816.8204,37899070
2020,YR2020,Portugal,PRT,2.29032E+11,22242.40642,10297081
2020,YR2020,Puerto Rico,PRI,1.03131E+11,31427.42911,3281557
2020,YR2020,Qatar,QAT,1.44411E+11,52315.66008,2760385
2020,YR2020,Romania,ROU,2.51363E+11,13047.45768,19265250
2020,YR2020,Russian Federation,RUS,1.49308E+12,10194.44141,144073139
2020,YR2020,Rwanda,RWA,10172925172,773.8205575,13146362
2020,YR2020,Samoa,WSM,868898350.4,4042.722715,214929
2020,YR2020,San Marino,SMR,1541247884,45321.48922,34007
2020,YR2020,Sao Tome and Principe,STP,472551023.6,2161.310201,218641
2020,YR2020,Saudi Arabia,SAU,7.34271E+11,20398.06099,35997107
2020,YR2020,Senegal,SEN,24530513059,1492.475904,16436120
2020,YR2020,Serbia,SRB,53356484764,7733.803494,6899126
2020,YR2020,Seychelles,SYC,1183515398,12020.02191,98462
2020,YR2020,Sierra Leone,SLE,4062906364,493.4322524,8233970
2020,YR2020,Singapore,SGP,3.48392E+11,61274.00646,5685807
2020,YR2020,Sint Maarten (Dutch part),SXM,1240279330,29314.09429,42310
2020,YR2020,Slovak Republic,SVK,1.06729E+11,19551.62116,5458827
2020,YR2020,Slovenia,SVN,53706800044,25545.241,2102419
2020,YR2020,Solomon Islands,SLB,1536145831,2222.462143,691191
2020,YR2020,Somalia,SOM,6883000000,416.2177747,16537016
2020,YR2020,South Africa,ZAF,3.3762E+11,5741.641249,58801927
2020,YR2020,South Sudan,SSD,..,..,10606227
2020,YR2020,Spain,ESP,1.27696E+12,26959.67544,47365655
2020,YR2020,Sri Lanka,LKA,84440535699,3852.389968,21919000
2020,YR2020,St. Kitts and Nevis,KNA,884522222.2,18566.01785,47642
2020,YR2020,St. Lucia,LCA,1516000000,8458.075063,179237
2020,YR2020,St. Martin (French part),MAF,..,..,32553
2020,YR2020,St. Vincent and the Grenadines,VCT,869111852.8,8306.367581,104632
2020,YR2020,Sudan,SDN,27034593750,608.3325195,44440486
2020,YR2020,Suriname,SUR,2911807496,4796.533314,607065
2020,YR2020,Sweden,SWE,5.47054E+11,52837.90398,10353442
2020,YR2020,Switzerland,CHE,7.39914E+11,85656.32267,8638167
2020,YR2020,Syrian Arab Republic,SYR,11159274040,537.2113614,20772595
2020,YR2020,Tajikistan,TJK,8133963813,852.3302296,9543207
2020,YR2020,Tanzania,TZA,66068737757,1104.164429,61704518
2020,YR2020,Thailand,THA,5.00457E+11,7001.785413,71475664
2020,YR2020,Timor-Leste,TLS,2158392500,1660.308309,1299995
2020,YR2020,Togo,TGO,7389329393,875.2454099,8442580
2020,YR2020,Tonga,TON,484796858.8,4605.970878,105254
2020,YR2020,Trinidad and Tobago,TTO,21059428846,13871.79822,1518147
2020,YR2020,Tunisia,TUN,42538462678,3497.733231,12161723
2020,YR2020,Turkiye,TUR,7.20289E+11,8561.064333,84135428
2020,YR2020,Turkmenistan,TKM,45610571429,7297.180042,6250438
2020,YR2020,Turks and Caicos Islands,TCA,924583000,20882.26127,44276
2020,YR2020,Tuvalu,TUV,51746568.7,4674.909088,11069
2020,YR2020,Uganda,UGA,37605430214,846.8811992,44404611
2020,YR2020,Ukraine,UKR,1.56618E+11,3751.737305,44132049
2020,YR2020,United Arab Emirates,ARE,3.49473E+11,37629.17417,9287289
2020,YR2020,United Kingdom,GBR,2.70461E+12,40318.41692,67081234
2020,YR2020,United States,USA,2.10605E+13,63528.6343,331511512
2020,YR2020,Uruguay,URY,53666908480,15650.49943,3429086
2020,YR2020,Uzbekistan,UZB,60224701296,1759.307471,34232050
2020,YR2020,Vanuatu,VUT,909421043.5,2917.756849,311685
2020,YR2020,"Venezuela, RB",VEN,..,..,28490453
2020,YR2020,Vietnam,VNM,3.46616E+11,3586.347297,96648685
2020,YR2020,Virgin Islands (U.S.),VIR,4204000000,39552.1686,106290
2020,YR2020,West Bank and Gaza,PSE,15531700000,3233.568638,4803269
2020,YR2020,"Yemen, Rep.",YEM,..,..,32284046
2020,YR2020,Zambia,ZMB,18110638619,956.8317475,18927715
2020,YR2020,Zimbabwe,ZWE,21509698406,1372.696674,15669666
